Party,Criminal Case,Total Assets,Liabilities,state,Education,SC,ST,Doctor,Advocate
AAP,6,10000000,110000000,KERALA,Graduate Professional,0,0,0,0
JD(U),0,10000000,2700000,GUJARAT,12th Pass,0,0,0,0
BJP,0,5300000,2600000,CHHATTISGARH,Post Graduate,1,0,0,0
DMK,22,90000000,900000,TAMIL NADU,Post Graduate,0,1,0,0
BJD,3,10000000,700000,WEST BENGAL,10th Pass,0,0,0,0
DMK,0,200000000,2900000,WEST BENGAL,8th Pass,0,0,0,0
INC,0,20000000,2100000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,0,6800000,4000000,KARNATAKA,Graduate,0,0,0,0
YSRCP,1,140000000,4800000,ANDHRA PRADESH,Post Graduate,0,0,0,0
AITC,11,4900000,2700000,WEST BENGAL,Post Graduate,1,0,0,0
AIADMK,9,30000000,800000,TAMIL NADU,12th Pass,0,0,0,0
BJP,0,10000000,10000000,GUJARAT,8th Pass,0,1,0,0
AAP,0,40000000,10000000,PUNJAB,Post Graduate,0,0,0,0
AITC,1,8800000,300000,WEST BENGAL,Post Graduate,1,0,0,0
INC,1,60000000,10000000,KARNATAKA,12th Pass,1,0,0,0
BJP,1,10000000,700000,UTTAR PRADESH,12th Pass,0,0,0,0
BJP,0,10000000,700000,WEST BENGAL,8th Pass,0,0,0,0
BJP,0,10000000,20000000,JHARKHAND,10th Pass,0,0,0,0
DMK,4,150000000,20000000,TAMIL NADU,12th Pass,0,0,0,0
BJP,0,230000000,9400000,UTTAR PRADESH,Post Graduate,0,0,0,0
SP,0,10000000,1300000,UTTAR PRADESH,Graduate,0,0,0,0
SHS,1,180000000,40000000,MAHARASHTRA,12th Pass,0,0,0,0
AIADMK,0,40000000,2500000,WEST BENGAL,Graduate Professional,0,0,0,0
RJD,4,10000000,1300000,BIHAR,Doctorate,1,0,0,0
BJP,0,20000000,5900000,PUDUCHERRY,Graduate,0,0,0,0
BJP,0,120000000,200000,MANIPUR,Graduate,0,0,0,0
BJP,0,10000000,50000000,GUJARAT,8th Pass,0,1,0,0
INC,0,0,5200000,NAGALAND,Post Graduate,0,0,0,0
CPI(M),0,90000000,0,WEST BENGAL,Graduate Professional,0,0,0,0
INC,0,40000000,4800000,CHHATTISGARH,Post Graduate,0,0,0,0
CPI(M),22,150000000,0,KERALA,10th Pass,0,0,0,0
JD(U),0,10000000,1900000,BIHAR,12th Pass,0,0,0,0
BJD,13,3700000,3700000,ODISHA,Graduate Professional,0,0,0,0
AIADMK,0,10000000,0,UTTAR PRADESH,8th Pass,0,0,0,0
INC,1,490000000,5500000,KARNATAKA,Graduate,0,0,0,0
BJP,0,90000000,30000000,CHHATTISGARH,10th Pass,0,0,0,0
INC,1,10000000,3400000,KARNATAKA,12th Pass,0,0,0,0
AAP,0,0,300000,CHHATTISGARH,12th Pass,1,0,0,0
INC,1,8000000,60000000,KARNATAKA,Graduate,0,0,0,0
BJP,0,330000000,2100000,CHHATTISGARH,Graduate Professional,0,0,0,0
BJP,0,20000000,1700000,WEST BENGAL,Graduate Professional,1,0,0,0
INC,0,0,1400000,GUJARAT,Graduate,0,0,0,0
YSRCP,0,140000000,30000000,ANDHRA PRADESH,Post Graduate,0,0,0,0
BJP,0,30000000,3300000,GUJARAT,12th Pass,0,1,0,0
Sikkim Krantikari Morcha,0,6200000,200000,SIKKIM,Graduate,0,0,0,0
BJP,0,110000000,5700000,HARYANA,10th Pass,0,0,0,0
DMK,3,40000000,2400000,TAMIL NADU,Post Graduate,0,0,0,0
BJP,0,60000000,0,GUJARAT,Post Graduate,0,0,0,0
BJP,3,10000000,2400000,KARNATAKA,12th Pass,0,0,0,0
BJP,2,120000000,200000000,TRIPURA,Graduate,0,0,0,0
BJP,0,9100000,4400000,KARNATAKA,Graduate Professional,0,0,0,0
AAP,0,0,0,PUNJAB,Graduate Professional,1,0,0,0
BJP,1,100000000,2000000,HARYANA,Graduate,0,0,0,0
AAP,1,90000000,0,DELHI,Graduate Professional,0,0,0,0
SP,0,130000000,1000000,UTTAR PRADESH,Graduate Professional,1,0,1,0
Tipra Motha Party,1,2000000,0,ODISHA,Post Graduate,0,1,0,0
INC,1,90000000,1800000,MADHYA PRADESH,Graduate,0,0,0,0
INC,8,2100000,140000000,KARNATAKA,Graduate Professional,0,0,0,0
INC,0,100000000,2200000,DELHI,10th Pass,0,0,0,0
BJP,1,10000000,1600000,UTTAR PRADESH,Graduate Professional,0,0,0,0
BJP,0,60000000,50000000,UTTAR PRADESH,Graduate Professional,1,0,1,0
SP,1,3500000,0,DELHI,Graduate,0,0,0,0
BJP,0,0,40000000,WEST BENGAL,12th Pass,0,0,0,0
AITC,4,2600000,2000000,WEST BENGAL,Graduate,1,0,0,0
IND,0,10000000,10000000,CHHATTISGARH,10th Pass,0,0,0,0
AITC,2,10000000,0,WEST BENGAL,Graduate Professional,0,0,0,0
BJP,1,1000000,6200000,HIMACHAL PRADESH,12th Pass,1,0,0,0
AITC,0,30000000,1000000,UTTAR PRADESH,Graduate Professional,0,0,0,0
BJP,0,10000000,0,WEST BENGAL,8th Pass,1,0,0,0
JMM,3,270000000,700000,JHARKHAND,8th Pass,0,0,0,0
CPI(M),0,10000000,900000,GUJARAT,8th Pass,0,0,0,0
INC,0,2100000,3900000,KERALA,Graduate Professional,0,0,1,1
AAP,0,10000000,2200000,UTTAR PRADESH,Graduate Professional,0,0,0,0
BJP,0,20000000,600000,RAJASTHAN,Post Graduate,0,0,0,0
DMK,3,40000000,0,TAMIL NADU,10th Pass,0,0,0,0
TDP,0,160000000,150000000,ANDHRA PRADESH,Graduate,0,0,0,0
INC,1,90000000,10000000,MAHARASHTRA,12th Pass,0,1,0,0
AAP,1,2600000,3200000,DELHI,12th Pass,0,0,0,0
DMK,25,5600000,2900000,TAMIL NADU,12th Pass,0,0,0,0
BJP,0,4900000,2000000,CHHATTISGARH,12th Pass,0,0,0,0
BJP,0,30000000,400000,UTTAR PRADESH,12th Pass,0,0,0,0
BJD,30,20000000,110000000,KARNATAKA,Post Graduate,0,0,0,0
YSRCP,1,8600000,2700000,WEST BENGAL,Post Graduate,0,0,0,0
INC,0,380000000,60000000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,1,630000000,0,MADHYA PRADESH,Doctorate,0,0,0,0
IND,1,140000000,7200000,ANDHRA PRADESH,12th Pass,0,0,0,0
AIADMK,16,20000000,7400000,RAJASTHAN,Graduate,0,0,0,0
INC,1,510000000,4500000,BIHAR,Graduate Professional,0,0,0,0
INC,0,10000000,0,DELHI,Doctorate,0,0,0,0
BJP,0,10000000,0,GUJARAT,Graduate Professional,1,0,0,0
NCP,0,50000000,10000000,MAHARASHTRA,12th Pass,0,0,0,0
AAP,0,3500000,1300000,PUNJAB,Post Graduate,0,0,0,0
BJP,0,100000000,3000000,RAJASTHAN,Graduate,1,0,0,0
RJD,4,10000000,30000000,BIHAR,12th Pass,0,0,0,0
DMK,1,50000000,70000000,MAHARASHTRA,10th Pass,0,0,0,0
INC,1,1350000000,0,JHARKHAND,Graduate,0,0,0,0
SP,1,130000000,1000000,UTTAR PRADESH,Graduate Professional,1,0,1,0
SP,0,50000000,170000000,ANDHRA PRADESH,Post Graduate,0,0,0,0
AAP,1,0,4200000,DELHI,Literate,0,0,0,0
BJP,0,10000000,10000000,HARYANA,10th Pass,0,0,0,0
AITC,0,9000000,0,WEST BENGAL,12th Pass,0,0,0,0
CPI(M),7,10000000,1100000,KERALA,Graduate Professional,0,0,0,0
INC,0,5600000,1200000,KARNATAKA,8th Pass,0,0,0,0
YSRCP,2,140000000,20000000,ANDHRA PRADESH,Post Graduate,0,0,0,0
SP,1,0,1100000,UTTAR PRADESH,Post Graduate,1,0,0,0
BJP,1,40000000,10000000,UTTAR PRADESH,Post Graduate,0,0,0,0
RJD,4,10000000,100000,BIHAR,Doctorate,0,0,0,0
BJP,0,30000000,10000000,UTTAR PRADESH,Post Graduate,1,0,0,0
INC,1,15000,4900000,KARNATAKA,Graduate,0,0,0,0
BJP,0,120000000,5100000,ASSAM,Graduate Professional,0,0,0,0
INC,8,0,30000000,RAJASTHAN,10th Pass,0,1,0,0
BJP,0,1000000,1100000,HIMACHAL PRADESH,Graduate,1,0,0,0
INC,0,40000000,1000000,CHHATTISGARH,10th Pass,0,1,0,0
CPI(M),1,2960000000,6200000,KERALA,Graduate Professional,0,0,0,0
BJP,0,7900000,1200000,MADHYA PRADESH,12th Pass,0,0,0,0
BJP,0,580000000,8800000,GOA,12th Pass,0,0,0,0
AITC,0,20000000,2700000,WEST BENGAL,12th Pass,0,0,0,0
Sikkim Krantikari Morcha,0,6200000,200000,SIKKIM,Graduate,0,0,0,0
DMK,13,3100000,30000000,TAMIL NADU,Post Graduate,0,0,0,0
AAP,1,6700000,40000000,KARNATAKA,Post Graduate,0,0,0,0
NPP,0,10000000,0,MEGHALAYA,12th Pass,0,1,0,0
INC,24,4900000,140000000,MADHYA PRADESH,Post Graduate,0,0,0,0
BJP,12,1800000,2000000,UTTAR PRADESH,Graduate Professional,0,0,0,0
BJP,0,370000000,1140000000,KARNATAKA,Graduate,0,0,0,0
BJP,0,80000000,300000,UTTAR PRADESH,Graduate,1,0,0,0
INC,1,10000000,70000000,JHARKHAND,Post Graduate,0,0,0,0
BJP,0,20000000,700000,UTTAR PRADESH,Graduate,0,0,0,0
TDP,18,150000000,70000000,ANDHRA PRADESH,10th Pass,0,0,0,0
BJP,0,5500000,90000000,UTTAR PRADESH,10th Pass,0,0,0,0
AAP,0,90000000,500000,DELHI,Graduate Professional,0,0,0,0
INC,1,10000000,700000,DELHI,Post Graduate,0,0,0,0
BJP,1,20000000,100000,UTTARAKHAND,Doctorate,1,0,0,0
YSRCP,2,140000000,20000000,ANDHRA PRADESH,Graduate,0,0,0,0
SP,1,20000000,1000000,UTTAR PRADESH,Post Graduate,0,0,0,0
INC,1,30000000,40000000,KERALA,Graduate Professional,0,0,0,1
AITC,0,110000000,10000000,UTTAR PRADESH,Graduate,1,0,0,0
INC,1,140000000,40000000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,0,20000000,800000,GUJARAT,12th Pass,0,0,0,0
BJP,0,0,800000,UTTAR PRADESH,12th Pass,1,0,0,0
BJP,0,510000000,4400000,MADHYA PRADESH,Post Graduate,1,0,1,0
AAP,18,9300000,20000000,DELHI,Graduate Professional,0,0,0,0
BJP,0,110000000,20000000,KARNATAKA,Graduate,0,0,0,0
INC,0,280000000,2800000,MANIPUR,Graduate Professional,0,0,0,0
RJD,7,10000000,100000,BIHAR,Post Graduate,0,0,0,0
BJP,0,170000000,10000000,MADHYA PRADESH,Graduate,0,0,0,0
INC,4,320000000,0,MADHYA PRADESH,8th Pass,0,0,0,0
INC,0,6100000,3500000,BIHAR,10th Pass,0,0,0,0
BJP,0,10000000,700000,GUJARAT,10th Pass,0,0,0,0
INC,0,60000000,10000000,CHHATTISGARH,Graduate,0,1,0,0
BJP,0,400000000,90000,KARNATAKA,Graduate,0,0,0,0
BJP,0,9900000,9900000,GOA,Graduate Professional,0,0,0,0
BJP,0,800000,190000000,ARUNACHAL PRADESH,10th Pass,0,0,0,0
BJP,0,0,1500000,ASSAM,10th Pass,0,0,0,0
RJD,4,130000000,0,UTTAR PRADESH,12th Pass,0,0,0,0
CPI(M),7,7100000,0,KERALA,Graduate Professional,0,0,0,0
AITC,0,8300000,0,JHARKHAND,Graduate Professional,0,0,0,0
BJP,1,50000000,10000000,MADHYA PRADESH,Graduate,0,0,0,0
BJD,1,170000000,60000000,ODISHA,Post Graduate,0,0,0,0
BJP,1,40000000,9100000,UTTAR PRADESH,Post Graduate,1,0,1,0
NDPP,0,460000000,3300000,NAGALAND,Post Graduate,0,1,0,0
AIADMK,0,10000000,3700000,ODISHA,10th Pass,0,0,0,0
INC,0,50000000,10000000,CHHATTISGARH,8th Pass,0,1,0,0
BJP,0,10000000,3500000,UTTAR PRADESH,Graduate,0,0,0,0
BJP,0,6600000,2500000,WEST BENGAL,Post Graduate,1,0,0,0
AITC,1,190000000,800000,WEST BENGAL,Graduate Professional,0,0,0,0
INC,0,0,4300000,KARNATAKA,12th Pass,0,0,0,0
BJP,0,6200000,260000000,ASSAM,Graduate,0,0,0,0
BJP,0,10000000,200000,WEST BENGAL,Graduate,0,0,0,0
YSRCP,4,10000000,120000000,ANDHRA PRADESH,12th Pass,0,0,0,0
CPI(M),7,5900000,1400000,KERALA,Graduate Professional,0,0,0,1
AAP,0,10000000,3500000,MAHARASHTRA,8th Pass,0,0,0,0
CPI(M),0,0,0,KERALA,8th Pass,0,0,0,0
BJP,0,1800000,3800000,KARNATAKA,Graduate Professional,0,0,0,0
INC,1,400000,200000,PUDUCHERRY,Post Graduate,0,0,0,0
INC,1,210000000,20000000,KARNATAKA,Graduate,0,0,0,0
BJP,1,200000000,200000,GUJARAT,Graduate,0,0,0,0
AAP,1,10000000,0,WEST BENGAL,Post Graduate,0,0,0,0
JD(U),0,10000000,100000,BIHAR,12th Pass,0,0,0,0
JMM,0,40000000,0,GUJARAT,8th Pass,0,1,0,0
INC,0,10000000,5000000,RAJASTHAN,12th Pass,0,0,0,0
YSRCP,11,4500000,4100000,ANDHRA PRADESH,12th Pass,0,0,0,0
BJP,4,320000000,10000000,UTTAR PRADESH,Post Graduate,0,0,1,0
BJP,0,170000000,200000,ASSAM,Graduate,0,0,0,0
YSRCP,1,10000000,10000000,ANDHRA PRADESH,8th Pass,0,0,0,0
BJP,0,10000000,1200000,CHHATTISGARH,12th Pass,0,1,0,0
BJP,0,10000000,100000,UTTAR PRADESH,Graduate Professional,0,0,0,0
BJP,0,9100000,300000,UTTAR PRADESH,Literate,1,0,0,0
INC,10,60000000,80000000,KARNATAKA,Graduate,0,0,0,0
AAP,0,30000000,7200000,BIHAR,12th Pass,1,0,0,0
BJP,0,10000000,0,GUJARAT,10th Pass,0,0,0,0
AAP,0,10000000,2200000,PUNJAB,Post Graduate,1,0,0,0
AIADMK,1,100000000,0,JHARKHAND,10th Pass,0,0,0,0
BJP,0,30000000,10000000,HIMACHAL PRADESH,12th Pass,1,0,0,0
BJP,6,130000000,0,UTTAR PRADESH,Graduate Professional,0,0,1,0
BJP,0,20000000,2100000,UTTARAKHAND,10th Pass,0,0,0,0
AITC,1,5600000,0,WEST BENGAL,Post Graduate,1,0,0,0
BJP,0,6680000000,110000000,ASSAM,Graduate,0,0,0,0
NCP,0,50000000,40000000,MAHARASHTRA,12th Pass,0,0,0,0
BJP,1,40000000,3500000,MADHYA PRADESH,Others,0,0,0,0
IND,0,9900000,8900000,GOA,Graduate,0,0,0,0
AAP,1,7600000,120000000,ASSAM,10th Pass,0,0,0,0
AAP,0,1100000,7900000,DELHI,Graduate Professional,0,0,0,0
INC,0,40000000,8500000,ASSAM,Graduate,0,0,0,0
BJP,1,6000000,0,HARYANA,Post Graduate,0,0,0,0
BJP,1,80000000,60000000,UTTAR PRADESH,Post Graduate,0,0,0,0
RJD,0,10000000,600000,BIHAR,12th Pass,0,0,0,0
AITC,6,40000000,0,WEST BENGAL,Graduate,0,0,0,0
CPI,0,10000000,60000,KERALA,Graduate Professional,0,0,0,0
BJP,3,10000000,500000,GUJARAT,Others,0,0,0,0
DMK,1,0,900000,DELHI,10th Pass,0,0,0,0
INC,0,110000000,40000000,KARNATAKA,Graduate Professional,1,0,0,0
BJP,6,2200000,0,BIHAR,Graduate,0,0,0,0
BJD,5,2200000,200000,DELHI,Post Graduate,0,0,0,0
BJP,0,300000,5300000,UTTARAKHAND,12th Pass,1,0,0,0
AITC,0,10000000,0,WEST BENGAL,Post Graduate,0,0,0,0
INC,1,10000000,1300000,KARNATAKA,Graduate Professional,0,0,0,0
INC,8,150000000,40000000,KARNATAKA,Graduate Professional,0,0,1,0
INC,1,290000000,900,KARNATAKA,Graduate Professional,0,0,0,0
BJP,0,6600000,0,UTTAR PRADESH,Post Graduate,0,0,0,0
RJD,0,10000000,100000,BIHAR,Doctorate,0,0,0,0
SP,3,40000000,3600000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,0,40000000,20000000,RAJASTHAN,Graduate Professional,0,0,0,0
NCP,4,9500000,5700000,JHARKHAND,Graduate,0,0,0,0
NCP,0,110000000,2700000,HARYANA,12th Pass,0,0,0,0
RJD,4,20000000,0,BIHAR,Doctorate,1,0,0,0
BJP,0,630000000,0,ASSAM,Post Graduate,0,1,0,0
AITC,9,9500000,0,WEST BENGAL,10th Pass,0,0,0,0
CPI(M),0,10000000,6900000,KERALA,Graduate Professional,0,0,0,1
AIADMK,0,20000000,800000,MAHARASHTRA,10th Pass,0,0,0,0
BJP,0,10000000,700000,UTTARAKHAND,Graduate Professional,0,0,0,0
BJP,0,10000000,1500000,UTTAR PRADESH,Graduate,1,0,0,0
INC,1,40000000,0,NAGALAND,8th Pass,0,1,0,0
BJP,0,80000000,0,UTTAR PRADESH,10th Pass,0,1,0,0
RJD,1,10000000,100000,BIHAR,12th Pass,0,0,0,0
BJP,1,60000000,9900000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,1,40000000,10000000,UTTAR PRADESH,Graduate Professional,1,0,1,0
Sikkim Krantikari Morcha,0,6200000,200000,SIKKIM,Graduate,0,0,0,0
BJP,0,6500000,1200000,MADHYA PRADESH,5th Pass,1,0,0,0
INC,1,10000000,1600000,JHARKHAND,Post Graduate,0,0,0,0
BJP,0,120000000,2100000,ASSAM,Graduate,0,0,0,0
SP,0,0,900000,UTTAR PRADESH,8th Pass,1,0,0,0
BJP,0,10000000,1600000,GUJARAT,8th Pass,0,1,0,0
BJP,0,5100000,3300000,CHHATTISGARH,Graduate,0,0,0,0
INC,1,210000000,1110000000,KARNATAKA,Graduate Professional,0,0,0,0
DMK,38,10000000,100000,TAMIL NADU,12th Pass,1,0,0,0
BJP,0,60000000,20000000,HARYANA,12th Pass,0,0,0,0
BJP,0,630000000,700000,MADHYA PRADESH,Others,0,0,0,0
AAP,1,6300000,3600000,DELHI,Post Graduate,0,0,0,0
DMK,2,2900000,2800000,KARNATAKA,Post Graduate,0,0,0,0
SP,0,10000000,1600000,UTTAR PRADESH,12th Pass,1,0,0,0
BJP,0,8800000,4400000,BIHAR,Graduate Professional,1,0,0,0
BJP,0,20000000,700000,BIHAR,12th Pass,0,0,0,0
TDP,1,140000000,10000000,ANDHRA PRADESH,Graduate Professional,0,0,0,0
BJP,4,20000000,0,UTTAR PRADESH,Post Graduate,1,0,0,0
CPI,1,20000000,6900000,KERALA,Graduate Professional,0,0,0,1
BJD,5,8700000,9500000,TRIPURA,Graduate,0,0,0,0
IND,0,220000000,10000000,NAGALAND,Post Graduate,0,0,1,0
JMM,0,40000000,1900000,JHARKHAND,12th Pass,0,0,0,0
AAP,0,3400000,1500000,DELHI,12th Pass,0,0,0,0
INC,1,2000000,180000000,KARNATAKA,Post Graduate,0,1,0,0
INC,0,0,10000000,RAJASTHAN,Post Graduate,0,0,0,0
INC,0,210000000,7600000,CHHATTISGARH,Post Graduate,0,1,0,0
AITC,6,10000000,300000,WEST BENGAL,Graduate Professional,0,0,0,0
CPI(M),1,20000000,0,UTTAR PRADESH,Graduate Professional,0,0,0,0
BJP,0,60000000,4700000,ASSAM,Post Graduate,0,0,0,0
RJD,0,10000000,100000,BIHAR,Doctorate,0,0,0,0
BJP,0,60000000,4900000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,1,40000000,0,UTTAR PRADESH,Graduate,0,0,0,0
BJD,7,20000000,500000,ODISHA,Post Graduate,0,0,0,0
AIADMK,73,150000000,30000000,TAMIL NADU,10th Pass,0,0,0,0
BJP,0,500000,1500000,HIMACHAL PRADESH,Post Graduate,1,0,0,0
AAP,0,10000000,1900000,ARUNACHAL PRADESH,12th Pass,0,0,0,0
BJP,0,40000000,0,WEST BENGAL,Graduate,0,1,0,0
INC,87,270000000,60000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,4,130000000,0,UTTARAKHAND,Post Graduate,1,0,0,0
BJP,2,6100000,20000000,KARNATAKA,Graduate Professional,0,0,0,0
AAP,52,0,5700000,DELHI,Post Graduate,1,0,0,0
INC,0,10000000,6500000,CHHATTISGARH,Post Graduate,0,1,0,0
BJP,0,40000000,60000000,RAJASTHAN,Post Graduate,0,0,0,0
BJP,1,100000000,3700000,GUJARAT,12th Pass,0,0,0,0
IND,0,0,5400000,KARNATAKA,Graduate Professional,0,1,0,0
BJP,12,5600000,2900000,KARNATAKA,Graduate,0,0,0,0
YSRCP,0,5000000,3300000,ANDHRA PRADESH,10th Pass,0,0,0,0
BJP,0,130000000,20000000,UTTAR PRADESH,Post Graduate,0,0,1,0
DMK,49,370000000,80000,ANDHRA PRADESH,Graduate Professional,0,0,0,0
YSRCP,2,130000000,0,ANDHRA PRADESH,Graduate Professional,0,0,0,0
BJP,0,10000000,0,UTTAR PRADESH,12th Pass,0,0,0,0
CPI(M),1,50000000,0,ODISHA,Graduate Professional,0,0,0,0
BJP,0,110000000,10000000,UTTAR PRADESH,Graduate,0,0,0,0
BJP,0,20000000,10000000,ASSAM,Graduate,0,0,0,0
AITC,1,0,0,UTTAR PRADESH,Graduate,0,0,0,0
SP,1,20000000,1000000,UTTAR PRADESH,Graduate Professional,1,0,1,0
RJD,7,20000000,0,BIHAR,Graduate Professional,0,0,0,0
BJP,0,230000000,2900000,HARYANA,12th Pass,1,0,0,0
BJP,1,10000000,200000,UTTAR PRADESH,10th Pass,0,0,0,0
SHS,2,40000000,40000000,MAHARASHTRA,Graduate,0,0,0,0
BJP,0,9500000,50000000,UTTAR PRADESH,5th Pass,1,0,0,0
BJP,1,40000000,0,JHARKHAND,10th Pass,0,0,0,0
DMK,0,20000000,1900000,TAMIL NADU,8th Pass,1,0,0,0
BJP,1,60000000,50000000,UTTARAKHAND,Graduate Professional,1,0,0,0
AAP,1,100000000,0,JHARKHAND,12th Pass,0,0,0,0
BJP,0,40000000,0,MANIPUR,Graduate,0,0,0,0
AITC,0,10000000,40000000,WEST BENGAL,8th Pass,0,0,0,0
BJP,2,3400000,9500000,GOA,Graduate,0,0,0,0
BJP,4,590000000,8900000,JHARKHAND,12th Pass,0,0,0,0
BJP,0,10000000,700000,GUJARAT,12th Pass,0,0,0,0
AITC,0,5000000,0,WEST BENGAL,10th Pass,0,0,0,0
INC,1,280000000,7600000,KARNATAKA,Post Graduate,0,1,0,0
BJP,0,0,200000,HARYANA,Graduate Professional,0,0,0,0
CPI(M),8,6800000,0,WEST BENGAL,8th Pass,0,0,0,0
BJP,0,10000000,4900000,MADHYA PRADESH,12th Pass,0,0,0,0
BJP,0,40000000,200000000,HARYANA,Graduate,0,0,0,0
Sikkim Krantikari Morcha,0,6200000,3000000,SIKKIM,Graduate,0,0,0,0
AITC,0,10000000,500000,WEST BENGAL,Graduate Professional,0,0,0,0
BJP,0,1600000,0,TRIPURA,10th Pass,0,0,0,0
BJP,0,1900000,3000000,SIKKIM,10th Pass,0,0,0,0
YSRCP,0,10000000,10000000,ANDHRA PRADESH,Post Graduate,0,0,0,0
BJP,0,10000000,10000000,MADHYA PRADESH,12th Pass,1,0,0,0
CPI(M),7,150000000,20000000,KERALA,Graduate Professional,0,0,0,0
BJP,0,50000000,4200000,UTTAR PRADESH,12th Pass,0,0,0,0
AAP,0,10000000,6000000,PUNJAB,12th Pass,0,0,0,0
INC,0,10000000,4800000,MAHARASHTRA,12th Pass,0,1,0,0
BJP,0,130000000,1000000,UTTAR PRADESH,Post Graduate,1,0,1,0
IND,0,70000000,40000000,MAHARASHTRA,Doctorate,0,0,0,0
Sikkim Krantikari Morcha,0,6200000,200000,SIKKIM,Graduate,0,0,0,0
CPI(M),7,5900000,1400000,KERALA,Graduate Professional,0,0,0,1
AAP,11,10000000,800000,WEST BENGAL,8th Pass,0,0,0,0
BJP,0,100000000,0,WEST BENGAL,Graduate Professional,0,0,0,0
BJP,0,20000000,500000,ASSAM,12th Pass,0,0,0,0
DMK,1,150000000,2900000,TAMIL NADU,Post Graduate,0,0,0,0
BJP,0,40000000,1900000,JHARKHAND,Graduate,0,0,0,0
IND,0,0,1900000,NAGALAND,Graduate,0,0,0,0
AAP,0,0,900000,TAMIL NADU,12th Pass,1,0,0,0
DMK,14,150000000,2000000,TAMIL NADU,Graduate Professional,0,0,0,0
INC,1,40000000,2400000,PUDUCHERRY,Post Graduate,0,0,0,0
JD(U),0,10000000,1700000,BIHAR,10th Pass,0,0,0,0
BJD,1,60000000,110000000,ODISHA,10th Pass,0,0,0,0
INC,0,40000000,10000000,MANIPUR,12th Pass,0,1,0,0
BJP,0,60000000,0,KARNATAKA,12th Pass,1,0,0,0
BJP,0,100000000,100000,ARUNACHAL PRADESH,Graduate,0,0,0,0
BJP,0,40000000,1600000,UTTAR PRADESH,10th Pass,0,0,0,0
INC,1,30000000,4700000,ANDHRA PRADESH,Post Graduate,0,0,0,0
INC,1,420000000,5600000,KARNATAKA,Graduate,0,0,0,0
BJP,0,40000000,700000,UTTAR PRADESH,Graduate,1,0,0,0
AAP,3,10000000,5500000,BIHAR,12th Pass,0,0,0,0
SHS,1,20000000,400000,MAHARASHTRA,Graduate,1,0,0,0
INC,1,0,2200000,KARNATAKA,Graduate,0,0,0,0
BJP,3,10000000,0,BIHAR,12th Pass,0,0,0,0
BJP,1,10000000,0,TRIPURA,Graduate,0,0,0,0
AIADMK,16,0,20000000,ANDHRA PRADESH,12th Pass,0,0,0,0
INC,1,7000000,61000,KARNATAKA,Graduate Professional,0,0,0,0
INC,0,10000000,10000000,ASSAM,Graduate,0,0,0,0
NCP,1,270000000,40000000,MAHARASHTRA,12th Pass,0,0,0,0
IND,0,40000000,8500000,HARYANA,Graduate,0,0,0,0
